# NOTICE: PROTOTYPE / BENCHMARK LABELED DATASET FOR SIH PS 26162 DEVELOPMENT ONLY
# NASA FIRMS DOES NOT NATIVELY PROVIDE GROUND-TRUTH CLASS LABELS
# THIS DATASET IS INTENDED FOR MACHINE LEARNING PIPELINE DEVELOPMENT AND TESTING
latitude,longitude,brightness,bright_t31,temp_diff,frp,frp_density,confidence_score,is_night,hour_sin,hour_cos,recurrence_count,persistence_ratio,night_detection_ratio,frp_local_mean,frp_zscore,frp_to_mean_ratio,target_class,target_label
20.2710,85.8410,335.0,298.0,37.0,19.0,130.0,0.65,1,-0.999,-0.026,10,0.70,0.40,20.0,-0.20,0.95,1,Persistent Thermal Source
20.2705,85.8405,375.0,311.0,64.0,135.0,920.0,0.93,0,0.891,-0.453,10,0.70,0.40,20.0,3.90,6.75,2,Industrial Fire
23.8000,86.4000,346.0,304.0,42.0,28.0,190.0,0.85,0,0.906,-0.422,14,0.85,0.55,27.0,0.15,1.03,1,Persistent Thermal Source
23.8010,86.4010,344.0,303.0,41.0,26.0,180.0,0.80,1,-0.965,-0.258,14,0.85,0.55,27.0,-0.20,0.96,1,Persistent Thermal Source
23.8005,86.4005,392.0,322.0,70.0,210.0,1450.0,0.99,0,0.906,-0.422,14,0.85,0.55,27.0,6.20,7.77,2,Industrial Fire
23.8015,86.4015,386.0,319.0,67.0,185.0,1260.0,0.96,1,-0.965,-0.258,14,0.85,0.55,27.0,5.30,6.85,2,Industrial Fire
30.3753,76.7821,315.2,292.0,23.2,6.2,30.2,0.25,0,0.923,-0.382,1,0.05,0.00,6.2,0.00,1.00,0,Other
31.1471,75.3412,312.0,291.5,20.5,4.8,21.9,0.25,0,0.923,-0.382,1,0.05,0.00,4.8,0.00,1.00,0,Other
28.6139,77.2090,320.5,295.0,25.5,9.1,58.7,0.60,0,0.887,-0.461,2,0.10,0.00,8.5,0.20,1.07,0,Other
29.8000,76.2000,318.0,294.0,24.0,7.5,45.0,0.50,0,0.923,-0.382,1,0.05,0.00,7.5,0.00,1.00,0,Other
26.5000,80.3000,322.0,296.0,26.0,8.0,50.0,0.60,0,0.866,-0.500,2,0.10,0.00,8.0,0.00,1.00,0,Other
30.1200,75.8500,314.0,292.0,22.0,5.5,28.0,0.30,0,0.923,-0.382,1,0.05,0.00,5.5,0.00,1.00,0,Other
30.5500,76.1000,316.0,293.0,23.0,6.8,35.0,0.40,0,0.923,-0.382,1,0.05,0.00,6.8,0.00,1.00,0,Other
31.4500,74.9000,311.0,290.0,21.0,4.5,22.0,0.25,0,0.923,-0.382,1,0.05,0.00,4.5,0.00,1.00,0,Other
27.2000,79.5000,321.0,295.5,25.5,8.2,52.0,0.55,0,0.866,-0.500,2,0.10,0.00,8.2,0.00,1.00,0,Other
28.1000,78.2000,319.0,294.0,25.0,7.8,48.0,0.50,0,0.887,-0.461,1,0.05,0.00,7.8,0.00,1.00,0,Other
25.8000,81.9000,323.0,297.0,26.0,9.0,56.0,0.60,0,0.866,-0.500,2,0.10,0.00,9.0,0.00,1.00,0,Other
29.5000,77.1000,317.0,293.5,23.5,7.0,44.0,0.45,0,0.923,-0.382,1,0.05,0.00,7.0,0.00,1.00,0,Other
30.8000,75.5000,313.0,291.0,22.0,5.2,26.0,0.30,0,0.923,-0.382,1,0.05,0.00,5.2,0.00,1.00,0,Other
31.8000,75.1000,310.0,289.5,20.5,4.2,20.0,0.20,0,0.923,-0.382,1,0.05,0.00,4.2,0.00,1.00,0,Other
27.9000,80.1000,320.0,295.0,25.0,8.0,50.0,0.50,0,0.866,-0.500,2,0.10,0.00,8.0,0.00,1.00,0,Other
18.5000,73.8000,324.0,297.0,27.0,9.5,60.0,0.60,0,0.866,-0.500,2,0.10,0.00,9.5,0.00,1.00,0,Other
19.2000,73.1000,326.0,298.0,28.0,10.2,65.0,0.65,0,0.866,-0.500,2,0.10,0.00,10.2,0.00,1.00,0,Other
12.9000,77.6000,322.0,296.0,26.0,8.5,53.0,0.55,0,0.887,-0.461,2,0.10,0.00,8.5,0.00,1.00,0,Other
13.1000,80.2000,325.0,297.5,27.5,9.8,62.0,0.60,0,0.887,-0.461,2,0.10,0.00,9.8,0.00,1.00,0,Other
17.4000,78.5000,323.0,296.5,26.5,8.8,55.0,0.55,0,0.866,-0.500,2,0.10,0.00,8.8,0.00,1.00,0,Other
23.0000,72.5000,327.0,299.0,28.0,11.0,70.0,0.65,0,0.866,-0.500,2,0.10,0.00,11.0,0.00,1.00,0,Other
26.9000,75.8000,324.0,297.5,26.5,9.2,58.0,0.60,0,0.887,-0.461,2,0.10,0.00,9.2,0.00,1.00,0,Other
30.9000,75.9000,314.5,292.0,22.5,5.8,30.0,0.35,0,0.923,-0.382,1,0.05,0.00,5.8,0.00,1.00,0,Other
31.3000,75.6000,312.5,291.0,21.5,5.0,24.0,0.30,0,0.923,-0.382,1,0.05,0.00,5.0,0.00,1.00,0,Other
28.4000,77.5000,321.5,295.5,26.0,8.9,56.0,0.60,0,0.887,-0.461,2,0.10,0.00,8.9,0.00,1.00,0,Other
